epoch,warm_start_kl_loss
1,11.240801811218262
2,11.20248031616211
3,11.164063453674316
4,11.122420310974121
5,11.073291778564453
6,11.01234245300293
7,10.933463096618652
8,10.83035659790039
9,10.695475578308105
10,10.524383544921875
11,10.312756538391113
12,10.068324089050293
13,9.804471969604492
14,9.560004234313965
15,9.392434120178223
16,9.335711479187012
17,9.22818374633789
18,8.965360641479492
19,8.630082130432129
20,8.301302909851074
21,7.978366851806641
22,7.612850189208984
23,7.161668300628662
24,6.601833343505859
25,5.939528465270996
26,5.157269477844238
27,4.272195816040039
28,3.328062057495117
29,2.2074344158172607
30,0.8315231800079346
31,0.18452517688274384
32,0.060344476252794266
