epoch,tb_loss,gradient_norm,gradient_norm_policy,gradient_norm_logZ
1,386.332763671875,1768.8560791015625,1768.476708780724,36.635494232177734
2,447.4253845214844,2214.623046875,2214.2715861685115,39.44857406616211
3,422.2782897949219,2144.966552734375,2144.6191478711016,38.6087760925293
4,402.2937316894531,1803.1651611328125,1802.77771026269,37.37675857543945
5,426.4676513671875,2240.9296875,2240.5815520055517,39.49940872192383
6,372.6527099609375,1949.150390625,1948.8009426680646,36.909027099609375
7,351.314453125,1588.610107421875,1588.1989021964891,36.142616271972656
8,343.99365234375,2024.2401123046875,2023.93093544592,35.381736755371094
9,313.2400817871094,1770.6165771484375,1770.3105449912898,32.91530990600586
10,297.8171081542969,1231.42041015625,1231.0024287440303,32.078880310058594
11,261.1713562011719,3273.349365234375,3273.2158135245363,29.559850692749023
12,345.37811279296875,4614.81884765625,4614.69410125572,33.93907928466797
13,320.0680236816406,3549.1220703125,3548.9775021014034,31.998655319213867
14,247.30084228515625,2240.955810546875,2240.769733122728,28.862783432006836
15,285.10992431640625,1342.369140625,1342.02040184273,30.59319305419922
16,227.009765625,494.2877502441406,493.5033012683193,27.836692810058594
17,217.58944702148438,505.9229736328125,505.1669571077196,27.647991180419922
18,250.71240234375,613.5616455078125,612.8615465676792,29.301790237426758
19,256.4851379394531,573.597900390625,572.7767431399482,30.681446075439453
20,214.17550659179688,478.965087890625,478.158284400172,27.788869857788086
21,218.93348693847656,383.2979431152344,382.2200482669515,28.725561141967773
22,209.73020935058594,339.9183044433594,338.7324415899505,28.368406295776367
23,155.81332397460938,124.14269256591797,121.66530220644667,24.677152633666992
24,173.90133666992188,126.91873168945312,124.18713347905715,26.19009780883789
25,175.7183380126953,94.84527587890625,91.11516481771555,26.337265014648438
26,151.99755859375,64.2450180053711,59.36817856927738,24.552824020385742
27,148.37213134765625,62.17910385131836,57.237078823000886,24.293153762817383
28,167.4018096923828,38.04100036621094,27.923820002567364,25.83365821838379
29,150.7606201171875,30.32118034362793,17.832782083626142,24.522762298583984
30,150.12351989746094,30.340351104736328,17.91975513127902,24.48303985595703
31,155.63043212890625,25.63075828552246,5.915063384026995,24.93888282775879
32,155.4607391357422,25.852785110473633,6.880106849852757,24.920486450195312
33,151.85040283203125,25.139345169067383,5.029716159302508,24.63105010986328
34,140.09713745117188,24.651851654052734,6.932313168958463,23.657068252563477
35,150.9202117919922,25.680105209350586,7.527832839432787,24.55197525024414
36,141.412841796875,24.75848960876465,6.934847734488884,23.767431259155273
37,147.1712646484375,29.432449340820312,16.776044084405235,24.183330535888672
38,138.90951538085938,24.19295883178711,5.54415328427001,23.549129486083984
39,160.8543701171875,29.653854370117188,15.39401499505176,25.34512710571289
40,168.80404663085938,27.018089294433594,7.482874690028356,25.961196899414062
41,145.9127960205078,26.532381057739258,10.993891699626452,24.147499084472656
42,143.59329223632812,24.208446502685547,3.5130665671639156,23.952186584472656
43,148.27041625976562,24.792919158935547,4.753755790361873,24.33291244506836
44,151.75770568847656,24.94700050354004,3.9716620742813724,24.62881851196289
45,146.5975341796875,24.547744750976562,4.094216436300707,24.203907012939453
46,151.3246307373047,24.975116729736328,4.357300068935319,24.59208106994629
47,160.02252197265625,25.434354782104492,2.723486761583743,25.288118362426758
48,134.17723083496094,24.048803329467773,6.493584324922526,23.155527114868164
49,161.4591827392578,28.447948455810547,12.81107397798131,25.400043487548828
50,150.33358764648438,24.950727462768555,4.671117701428779,24.50957679748535
51,149.2915802001953,24.49072265625,1.7778579272295438,24.426109313964844
52,136.73526000976562,23.671926498413086,3.7674933976935026,23.370195388793945
53,144.7202606201172,24.133098602294922,2.054966431885828,24.045448303222656
54,152.71925354003906,26.420957565307617,9.374937655599048,24.701772689819336
55,133.02169799804688,23.101041793823242,1.428936094577795,23.056804656982422
56,141.77459716796875,24.092649459838867,3.721915834435402,23.80342674255371
