epoch,reward_mean,reward_std,reward_max,scaled_reward_mean,reward_p95,top_reward_seen,unique_smiles_generated,diversity_bonus_mean,temperature,lock_geo_positive,lock_proj_gt_05
1,4.202511787414551,2.8764684200286865,17.656368255615234,42.025115966796875,8.482121467590332,17.656368255615234,64,0.5,20.0,1,64
2,3.522768020629883,2.1681854724884033,17.656368255615234,35.22768020629883,5.577951431274414,17.656368255615234,127,0.49771177768707275,20.0,1,64
3,3.866105794906616,2.4753763675689697,17.656368255615234,38.66105651855469,8.014419555664062,17.656368255615234,181,0.4761039912700653,20.0,0,64
4,4.425175666809082,3.5174713134765625,24.147558212280273,44.25175476074219,7.1404523849487305,24.147558212280273,228,0.45846837759017944,20.0,3,64
5,3.996670961380005,3.5651280879974365,24.147558212280273,39.966712951660156,6.968417167663574,24.147558212280273,282,0.4720461368560791,20.0,2,64
6,4.180424213409424,3.4433467388153076,24.147558212280273,41.80424499511719,7.117366790771484,24.147558212280273,332,0.46299824118614197,20.0,4,64
7,4.18572998046875,4.277267932891846,35.00499725341797,41.8572998046875,7.43774938583374,35.00499725341797,382,0.464923620223999,20.0,4,64
8,3.9811296463012695,2.1792173385620117,12.002752304077148,39.81129455566406,8.020744323730469,35.00499725341797,433,0.46721187233924866,15.737545335292818,1,64
9,4.0011372566223145,2.5268824100494385,17.656368255615234,40.011375427246094,8.143173217773438,35.00499725341797,481,0.45818519592285156,20.0,2,64
10,3.4763128757476807,1.688629150390625,7.629919052124023,34.76313018798828,6.630710601806641,35.00499725341797,527,0.4547570049762726,6.2094799220561985,1,64
11,3.975512981414795,2.4183177947998047,16.30570411682129,39.755126953125,8.003485679626465,35.00499725341797,573,0.45456212759017944,20.0,3,64
12,3.6660280227661133,1.7948170900344849,10.650838851928711,36.6602783203125,6.051438331604004,35.00499725341797,624,0.46721190214157104,13.304563540220261,3,64
13,3.671778440475464,2.346632480621338,14.16476058959961,36.71778869628906,8.518122673034668,35.00499725341797,672,0.4587291181087494,20.0,2,64
14,4.095599174499512,2.664189577102661,19.71924591064453,40.95599365234375,7.580962181091309,35.00499725341797,717,0.45186448097229004,20.0,2,64
15,3.5442898273468018,1.6649550199508667,8.135943412780762,35.442901611328125,7.072140216827393,35.00499725341797,768,0.46721187233924866,7.508208346366882,1,64
16,3.919008731842041,2.5154740810394287,17.930912017822266,39.19009017944336,7.605297565460205,35.00499725341797,823,0.47839224338531494,20.0,3,64
17,3.6645596027374268,1.852996826171875,10.629919052124023,36.64559555053711,7.503812313079834,35.00499725341797,877,0.4761040210723877,13.045297527313231,2,64
18,3.993762969970703,2.2700304985046387,14.198766708374023,39.93762969970703,7.008882999420166,35.00499725341797,933,0.4786530137062073,20.0,2,64
19,3.3420681953430176,1.6941120624542236,8.578882217407227,33.42068099975586,7.446295738220215,35.00499725341797,992,0.4885588586330414,8.637959158420564,1,64
20,4.036834716796875,2.172734260559082,13.219918251037598,40.36834716796875,8.491145133972168,35.00499725341797,1051,0.4875451624393463,17.621421355009076,1,64
21,3.6152026653289795,1.5765190124511719,8.07841682434082,36.15202713012695,6.5382981300354,35.00499725341797,1111,0.4882153272628784,8.050382363796235,1,64
