epoch,trajectory_entropy
1,0.06716117262840271
2,0.07520556449890137
3,0.05222205072641373
4,0.04500898718833923
5,0.03892379254102707
6,0.03386726975440979
7,0.037119220942258835
8,0.09313003718852997
9,0.27288803458213806
10,1.3136305809020996
11,2.529927968978882
12,3.0399954319000244
13,3.7184267044067383
14,4.62110710144043
15,5.6416120529174805
16,6.344657897949219
17,6.845508575439453
18,7.243749618530273
19,7.697783470153809
20,8.187050819396973
21,8.798595428466797
22,9.438058853149414
23,9.989348411560059
24,10.395079612731934
25,10.676358222961426
26,10.858768463134766
27,10.980409622192383
28,11.065101623535156
29,11.122421264648438
30,11.164968490600586
31,11.196185111999512
32,11.216039657592773
33,11.226235389709473
34,11.226234436035156
35,11.222037315368652
36,11.21753215789795
37,11.21878719329834
38,11.215734481811523
39,11.214859008789062
40,11.223785400390625
41,11.231355667114258
42,11.238045692443848
43,11.241753578186035
44,11.241944313049316
45,11.239971160888672
46,11.237163543701172
47,11.234579086303711
48,11.232154846191406
49,11.231900215148926
50,11.234201431274414
51,11.236858367919922
52,11.238588333129883
53,11.239688873291016
54,11.240588188171387
55,11.242116928100586
56,11.243047714233398
57,11.243810653686523
58,11.244101524353027
59,11.244027137756348
60,11.243654251098633
61,11.243353843688965
62,11.243204116821289
63,11.243014335632324
64,11.242951393127441
65,11.242491722106934
66,11.241718292236328
67,11.240937232971191
68,11.240644454956055
69,11.240166664123535
70,11.239418029785156
71,11.238704681396484
72,11.23876953125
73,11.238028526306152
74,11.238003730773926
75,11.238086700439453
76,11.237916946411133
77,11.23814582824707
78,11.238983154296875
79,11.239764213562012
80,11.240578651428223
81,11.241615295410156
82,11.242547988891602
83,11.243329048156738
84,11.243436813354492
85,11.242897033691406
86,11.241876602172852
87,11.240296363830566
88,11.238701820373535
89,11.238240242004395
90,11.237227439880371
91,11.23685359954834
92,11.236454963684082
93,11.23556900024414
94,11.234915733337402
95,11.234514236450195
96,11.233928680419922
97,11.233020782470703
98,11.23275089263916
99,11.232847213745117
100,11.233264923095703
101,11.234410285949707
102,11.235625267028809
103,11.236837387084961
104,11.238174438476562
105,11.238937377929688
106,11.239465713500977
107,11.239639282226562
108,11.239873886108398
109,11.239771842956543
110,11.239982604980469
111,11.240127563476562
112,11.240192413330078
113,11.240204811096191
114,11.240211486816406
115,11.240348815917969
116,11.240399360656738
117,11.240572929382324
118,11.240861892700195
119,11.241074562072754
120,11.241560935974121
121,11.24162483215332
122,11.241582870483398
123,11.241540908813477
124,11.241558074951172
125,11.2415771484375
126,11.241768836975098
127,11.241628646850586
128,11.241559982299805
129,11.241607666015625
130,11.241120338439941
131,11.2418212890625
132,11.242019653320312
133,11.241873741149902
134,11.242456436157227
135,11.242586135864258
136,11.243240356445312
137,11.243196487426758
138,11.243432998657227
139,11.243313789367676
140,11.24352741241455
141,11.243462562561035
142,11.243415832519531
143,11.24339485168457
144,11.243438720703125
145,11.24339485168457
146,11.243396759033203
147,11.243476867675781
148,11.243572235107422
149,11.243678092956543
150,11.243803024291992
151,11.243703842163086
152,11.24374008178711
153,11.243785858154297
154,11.24382209777832
155,11.243792533874512
156,11.243719100952148
157,11.243639945983887
158,11.243589401245117
159,11.243438720703125
160,11.243413925170898
161,11.243391990661621
162,11.243316650390625
163,11.243210792541504
164,11.243158340454102
165,11.242998123168945
166,11.242874145507812
167,11.242598533630371
168,11.242310523986816
169,11.242133140563965
170,11.241927146911621
171,11.241729736328125
172,11.241497039794922
173,11.241256713867188
174,11.240812301635742
175,11.24070930480957
176,11.240364074707031
177,11.240169525146484
178,11.239700317382812
179,11.239662170410156
180,11.239449501037598
181,11.239141464233398
182,11.239099502563477
183,11.239176750183105
184,11.239031791687012
185,11.238654136657715
186,11.238713264465332
187,11.238519668579102
188,11.237959861755371
189,11.238078117370605
190,11.237796783447266
191,11.23758316040039
192,11.23742389678955
193,11.237077713012695
194,11.236772537231445
195,11.236211776733398
196,11.235836029052734
197,11.235755920410156
198,11.235441207885742
199,11.23513412475586
200,11.234332084655762
