epoch,warm_start_kl_loss
1,11.240801811218262
2,11.202481269836426
3,11.164063453674316
4,11.122420310974121
5,11.073291778564453
6,11.01234245300293
7,10.933463096618652
8,10.83035659790039
9,10.695475578308105
10,10.524383544921875
11,10.312755584716797
12,10.06832504272461
13,9.804472923278809
14,9.560003280639648
15,9.392434120178223
16,9.335709571838379
17,9.228182792663574
18,8.965359687805176
19,8.630081176757812
20,8.301301956176758
21,7.978366374969482
22,7.612850189208984
23,7.161669731140137
24,6.601834297180176
25,5.939528942108154
26,5.157269477844238
27,4.2721967697143555
28,3.3280601501464844
29,2.207432746887207
30,0.8315207362174988
31,0.1845245361328125
32,0.06034398451447487
